Time,ECG,GSR,Breathing,EMG,PulOxR,PulOxIR
11:17:23.586961,31797.000000,18501.000000,31900.000000,32864.000000,1142.000000,796.000000
11:17:23.587317,31660.000000,18490.000000,31897.000000,32765.000000,1141.000000,793.000000
11:17:23.587583,31593.000000,18527.000000,31928.000000,32738.000000,1141.000000,793.000000
11:17:23.587750,31492.000000,18500.000000,31903.000000,32815.000000,1143.000000,796.000000
11:17:23.587898,31397.000000,18497.000000,31925.000000,32698.000000,1143.000000,796.000000
11:17:23.588577,31248.000000,18498.000000,31951.000000,32693.000000,1140.000000,796.000000
11:17:23.588742,31036.000000,18495.000000,31981.000000,32737.000000,1140.000000,796.000000
11:17:23.588888,30852.000000,18491.000000,31921.000000,32745.000000,1140.000000,796.000000
11:17:23.589422,30704.000000,18533.000000,32005.000000,32893.000000,1140.000000,796.000000
11:17:23.589628,30564.000000,18519.000000,31981.000000,32562.000000,1140.000000,793.000000
11:17:23.590069,30404.000000,18509.000000,31990.000000,32734.000000,1140.000000,793.000000
11:17:23.590224,30308.000000,18511.000000,31967.000000,32729.000000,1145.000000,795.000000
11:17:23.593651,30406.000000,18488.000000,31995.000000,32708.000000,1145.000000,795.000000
11:17:23.593897,30604.000000,18500.000000,31938.000000,32813.000000,1139.000000,796.000000
11:17:23.594474,30868.000000,18525.000000,31944.000000,32609.000000,1139.000000,796.000000
11:17:23.604466,31180.000000,18509.000000,31917.000000,32727.000000,1139.000000,796.000000
11:17:23.605099,31553.000000,18500.000000,31958.000000,32829.000000,1139.000000,796.000000
11:17:23.605358,31964.000000,18492.000000,31999.000000,32804.000000,1140.000000,796.000000
11:17:23.605845,32476.000000,18493.000000,32048.000000,32777.000000,1140.000000,796.000000
11:17:23.613034,33148.000000,18534.000000,32038.000000,32645.000000,1140.000000,797.000000
11:17:23.613421,33992.000000,18510.000000,31972.000000,32772.000000,1140.000000,797.000000
11:17:23.613673,34974.000000,18498.000000,31988.000000,32610.000000,1143.000000,796.000000
11:17:23.613885,35968.000000,18495.000000,31926.000000,32791.000000,1143.000000,796.000000
11:17:23.614070,37088.000000,18511.000000,32006.000000,32698.000000,1139.000000,795.000000
11:17:23.614178,38260.000000,18482.000000,31913.000000,32671.000000,1139.000000,795.000000
11:17:23.614287,39460.000000,18484.000000,31983.000000,32770.000000,1142.000000,796.000000
11:17:23.614450,40628.000000,18548.000000,31964.000000,32735.000000,1142.000000,796.000000
11:17:23.614559,41840.000000,18511.000000,32005.000000,32858.000000,1141.000000,796.000000
11:17:23.615626,43096.000000,18484.000000,31920.000000,32807.000000,1141.000000,796.000000
11:17:23.615824,44368.000000,18515.000000,31876.000000,32856.000000,1139.000000,799.000000
11:17:23.615940,45660.000000,18503.000000,32069.000000,32804.000000,1139.000000,799.000000
11:17:23.616162,46864.000000,18480.000000,31862.000000,32751.000000,1139.000000,798.000000
11:17:23.618892,47972.000000,18484.000000,32084.000000,32822.000000,1139.000000,798.000000
11:17:23.619034,49060.000000,18583.000000,32058.000000,32621.000000,1142.000000,795.000000
11:17:23.619143,50076.000000,18535.000000,32098.000000,32837.000000,1142.000000,795.000000
11:17:23.619261,51044.000000,18516.000000,32021.000000,32769.000000,1140.000000,798.000000
11:17:23.619342,51904.000000,18497.000000,32012.000000,32775.000000,1140.000000,798.000000
11:17:23.619457,52688.000000,18508.000000,31999.000000,32692.000000,1141.000000,797.000000
11:17:23.619542,53348.000000,18476.000000,32037.000000,32703.000000,1141.000000,797.000000
11:17:23.630268,53604.000000,18642.000000,32005.000000,32686.000000,1142.000000,795.000000
11:17:23.630410,53500.000000,18555.000000,31980.000000,32676.000000,1142.000000,795.000000
11:17:23.630472,53100.000000,18524.000000,31972.000000,32767.000000,1141.000000,796.000000
11:17:23.630526,52372.000000,18501.000000,31920.000000,32702.000000,1141.000000,796.000000
11:17:23.630579,51260.000000,18499.000000,32137.000000,32740.000000,1140.000000,794.000000
11:17:23.630668,49760.000000,18495.000000,32108.000000,32793.000000,1140.000000,794.000000
