Time,ECG,GSR,Breathing,EMG,PulOxR,PulOxIR
12:40:57.066309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.066451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.066512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.067365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.067453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.067498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.067539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.067577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.067616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.067653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.071054,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.071149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.071195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.071234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.071275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.094916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.095041,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.095088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.095166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.097345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.097416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.097448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.097475,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.097502,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.099815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.099886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.099944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.099991,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.100020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.100047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.100074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.102346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.102408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.102440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.102467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.102494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.102520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.102547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12:40:57.102574,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
