Time,ECG,GSR,Breathing,EMG,PulOxR,PulOxIR
11:11:23.204742,34584.000000,19693.000000,30257.000000,32671.000000,1138.000000,797.000000
11:11:23.204777,35692.000000,19700.000000,30432.000000,32646.000000,1138.000000,797.000000
11:11:23.204810,36844.000000,19691.000000,30423.000000,32750.000000,1138.000000,794.000000
11:11:23.204843,38092.000000,19741.000000,30385.000000,32678.000000,1138.000000,794.000000
11:11:23.211985,39324.000000,19719.000000,30343.000000,32654.000000,1141.000000,795.000000
11:11:23.212008,40540.000000,19694.000000,30369.000000,32700.000000,1141.000000,795.000000
11:11:23.212120,41823.000000,19690.000000,30348.000000,32743.000000,1141.000000,791.000000
11:11:23.212197,43156.000000,19684.000000,30360.000000,32773.000000,1141.000000,791.000000
11:11:23.212219,44464.000000,19703.000000,30358.000000,32756.000000,1142.000000,793.000000
11:11:23.212251,45736.000000,19684.000000,30388.000000,32708.000000,1142.000000,793.000000
11:11:23.212285,46996.000000,19730.000000,30356.000000,32742.000000,1139.000000,793.000000
11:11:23.218437,48240.000000,19675.000000,30313.000000,32809.000000,1139.000000,793.000000
11:11:23.218463,49404.000000,19742.000000,30428.000000,32850.000000,1140.000000,792.000000
11:11:23.218487,50452.000000,19709.000000,30276.000000,32789.000000,1140.000000,792.000000
11:11:23.218499,51440.000000,19766.000000,30402.000000,32759.000000,1138.000000,794.000000
11:11:23.218510,52302.000000,19734.000000,30319.000000,32707.000000,1138.000000,794.000000
11:11:23.218528,53032.000000,19787.000000,30356.000000,32711.000000,1139.000000,794.000000
11:11:23.218570,53560.000000,19718.000000,30385.000000,32651.000000,1139.000000,794.000000
11:11:23.218592,53764.000000,19836.000000,30396.000000,32613.000000,1140.000000,793.000000
11:11:23.218624,53568.000000,19733.000000,30377.000000,32696.000000,1140.000000,793.000000
11:11:23.228127,52968.000000,19780.000000,30400.000000,32668.000000,1141.000000,791.000000
11:11:23.228165,52140.000000,19727.000000,30452.000000,32743.000000,1141.000000,791.000000
11:11:23.228182,50944.000000,19787.000000,30316.000000,32807.000000,1139.000000,795.000000
11:11:23.228195,49516.000000,19743.000000,30372.000000,32872.000000,1139.000000,795.000000
11:11:23.230522,47864.000000,19821.000000,30413.000000,32816.000000,1139.000000,793.000000
11:11:23.230561,46149.000000,19713.000000,30389.000000,32795.000000,1139.000000,793.000000
11:11:23.230595,44517.000000,19703.000000,30320.000000,32636.000000,1138.000000,793.000000
11:11:23.237147,43008.000000,19749.000000,30478.000000,32766.000000,1138.000000,793.000000
11:11:23.237195,41628.000000,19740.000000,30423.000000,32773.000000,1139.000000,791.000000
11:11:23.237208,40440.000000,19708.000000,30425.000000,32656.000000,1139.000000,791.000000
